,challenges_obstacles_mistakes,outcome_numeric,gender
0," Finding time is the biggest obstacle in expanding 10er and the other side projects I have. With a full-time job and 2 kids (son 4 years, daughter 10 months 🤯) free time can be hard to come by. This reality has forced me to make 10er as autonomous and small as possible. I still don’t have a custom admin interface and still do some things manually in the terminal. Project sign ups still go through me personally for instance. It’s almost like forced non-growth. I tell myself that this is both a curse and a blessing. I’ve personally connected with and spoken to every project using the service and have never had any problems with abuse or the like.  I’ve made lots! Handling people’s money and credit cards make everything a lot more serious so mistakes feel like your entire world is breaking up. I’ve had made a few stomach-turning mistakes: The first time I ran the charge script, it wasn’t idempotent. That is, when a charge failed (for some reason. They do a lot, I know now) the entire script would start from the beginning charging everyone again. When I realized what it was doing, it felt like sweat sprung from my entire body like one of those garden sprinklers. The fix was to make the script look for existing charges before charging. That way it never charges twice for the same donation. At one point I consolidated two kinds of user accounts (project owners and donators. It was very confusing) I jumbled almost everyone’s subscriptions. When I ran the charge script a few weeks later, people were charged for other people’s subscriptions. I almost felt the earth shake when I realized. Rebuilding everyone’s subscriptions ended up taking a few weeks and I was very embarrassed. Still, both times only a few people didn’t accept my apology. I think I had 2 or 3 users leave from those accidents. Everybody else was very forgiving and appreciated my swift response and openness. Always be humble and honest. ‍",1,0
1," The biggest challenge for me has always been, and still is, giving 40 Aprons my absolute focus. Because it’s enjoyable and has always been my passion, it always was pushed to the back burner for me. And today, client work and deadlines always come first, but I have to remind myself: all of this is a reality because of the blog. That should be my #1 focus always!  In terms of challenges within the industry, there is so much content now, and it can be difficult to stand out from the crowd. It took time for me to do this, and I’m still working on it! But given the sheer volume of food blogs these days, it’s challenging for almost everyone to separate themselves, develop a recognizable style, and drum up a loyal followership of people who really relate to what you’re doing and how you’re doing it. It wasn’t until I really narrowed down my niche, and then narrowed it further by analyzing the content that performed best with my audience, that I was able to feel successful on this spectrum. Now that I’m established in the niche and know very well what works and doesn’t work with my audience, I’m working hard to pump out the content that my readers want, whilst integrating a voice that resonates with them (Thankfully, that’s my regular voice, but I include my more family-oriented perspective these days) to continue to grow a presence. I want my site and content to be more than a random recipe found on Pinterest I want it to be a collective, a voice, more of a destination than a chance stop along the way. ‍  40 Aprons is so old, you can witness every mistake or total lack of skill or knowledge like layers of fossils. For a long time, my photography was absolutely atrocious, and in the beginning, it didn’t really matter! Today, food bloggers consistently produce magazine-quality photography, but a decade ago, cell phone shots were a-OK. That, of course, changed, and I tried to adapt to it.  And then, of course, there was the creative titling, naming things “So Nice They Named It Twice” rather than what the dish actually was. Again, back then, people weren’t searching on Pinterest for recipes (Because Pinterest didn’t exist!), and priority was always, always given to mega food sites, so on top of it being less visible, there were simply no real resources to learn best practices.  The biggest mistake, though, would have to be my tendency to keep 40 Aprons always idling in the driveway, burning fuel and resources but not really going anywhere. I saw quick growth after I gave it my all, but, to be fair, I spent many years learning the skills that allowed me to do so.",1,1
2," I was unaware of how difficult it is to grow a B2B business, even more, if it is a niche product. Also, I was not well prepared for launch there was no strategy. Promoting a product is hard. Doing so without a plan is virtually impossible. ‍",0,0
3," My biggest mistake is that I really don't want to do anything but write software, and that only works if your product is so narrowly focused and immediately useful that it practically sells itself. I guess this is the usual mistake for a technical solo founder: I made a thing that nobody really needed. We're trained to make our software as general as it can reasonably be, but for the purposes of operating a small business, you really need to target a small niche, which I was never able to find. ‍",0,0
4," Here are the main mistakes: Working without salary: You have a family so, sooner or later, you are going to get exhausted and frustrated.Picking a wrong business partner: I now have a thumb rule that consists of never ever picking a co-founder from your family or friends and never picking a co-founder who doesn’t add value (besides money)Planning: Plan for 5 years and backtrack that. Iterate until you reach a level where you have visibility of the goals in the next 15 days.Realistic goals: Your goals should be realistic and also should be objective enough to get traced in a metric. Not hiring people: Not hiring sales/marketing staff is one of the most common mistakes and we’ve also committed it. Some challenges we faced were: Creating a regular sales funnel and pipeline.Lack of focus and doing a lot of things simultaneously.Building a portfolio and pitching customers. It was a chicken and egg challenge. ‍",0,0
5," Jared: As we mentioned earlier, we’d started explicitly as a student plan. We had a partnership with the University of Central Florida, and we were marketing it to the students directly. That ended up being a pilot program that taught us what was working and what wasn’t. Selling to students directly was challenging because they didn’t know a lot about warranties, so we started integrating transparency and education about how insurance works in our product. And, of course, working more with students’ parents and school administrators helped us achieve better results. Eric: Once we decided to expand and go national, we had to learn how to find our customers. You might think that our base of potential customers is everyone, but it’s tough to appeal to everyone at once, so we tried to hit a number of highly specific demographics. It was like, “Okay, musicians will want this, and extreme-sports enthusiasts will want this,” and so on. So we tried appealing to these somewhat niche groups, but it didn’t work. But we learned a lot about our customers, and we learned not to make assumptions about consumer behavior and purchasing decisions without the data to back them up.  ",1,0
6," It took us a while to find the right backend system for Aplano. Before using Firebase we struggled with slow processes in deploying the application and fixing bugs. With Firebase that problem vanished.  We were competing in a market with well-funded companies and lots of manpower. What we were lacking in experience we had to make up for with hard work and long nights. So all of us started to specialize in different areas to be able to compete. We went through a difficult period but I have to admit, it was well worth it since all of us ended up learning new skills, gaining experience, and broadening our knowledge in the saas market.  Ranking in Google was also quite the hassle. We didn’t have much experience at first and therefore faced the issue with a typical “try and error” approach. It cost us some time, but we started to understand how to deal with SEO in the end.  ",1,0
7," We did not spend enough time validating the idea through customer interviews before investing in building the MVP. This meant that with every day we spent building the tool we were increasing the likelihood of confirmation bias (this is the right thing to do because we are doing it), this ultimately lead us to spending too many resources on what was ultimately a poor business idea. ‍",0,0
8," I find you only have one of two problems: time or money. In our case, it’s time. Although we’re bootstrapped, we’re two very resourceful guys but college can get in the way when you’re trying to get it done as quickly as possible.  As an example, James is in his last semester for his Master’s in Engineering and spending this semester researching ways to regenerate neural networks if they become corrupted. Oddly, that correlates with what we’re doing at Aura but that also requires deep work sessions.  Luckily, he graduates in the coming weeks and our little obstacle won’t be a problem anymore.  I think it also helps to put problems within context. I like asking the question if something is physically possible. If something is physically possible, then you just have a knowledge or information problem. Problems are easy to solve once you understand that something is possible. Then, you just need to learn how to make it possible for you.   I’m incredibly happy that we’re bootstrapped. It made us focus on revenues from day 0. I find that’s very understated. In the early days, bootstrapping makes sense but at some point, you may need to raise money when the ROI is clearly positive.  As an example, if our paid ads are well below 1:3, CAC:LTV, we would be giving up a positive investment in our company. Being bootstrapped can mean that you capture only a percentage of that opportunity.  At some point, raising money may make sense. Not now, but maybe at some point.  Outside of that, this is our first tech company as entrepreneurs. We both run successful small businesses but this is a whole new level that we’re excited to learn about. It’s the Dunning-Kruger Effect, where your confidence is too high when you know little and becomes more realistic when you realize how little you actually know.  Now, it’s learning and applying everything that we’re learning to build the company we’ve always wanted to build.  ",1,0
9," Our biggest challenge was hiring. Hiring full-time mechanics meant paying them even when we had no work. But we believed that hiring meant that mechanics were always ready to go and that they were of higher quality. We learned that we needed to have a continual hiring process and that a high attrition was the norm in the industry. Unfortunately, we were never able to completely solve this problem. Another mistake we made was trying to expand so quickly. After meeting many investors, we were always told that our numbers were too low. This got us into a bad cycle of trying to acquire as many customers as possible, using the fastest methods. This ended up causing the resignation of many mechanics, due to too the big work demand.",0,0
